epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1730.78,0.93448,0.54594,1.18297,0.98372,0.97966,0.99348,0.81559,0.72419,0.36933,0.98224,0.0005941,0.0005941,0.0005941
43,1773.69,0.96401,0.54638,1.21538,0.97815,0.97838,0.98568,0.83726,0.6471,0.3556,0.95361,0.0005842,0.0005842,0.0005842
44,1816.47,0.95097,0.54499,1.19404,0.9945,0.97709,0.9873,0.82536,0.72722,0.36795,1.0022,0.0005743,0.0005743,0.0005743
45,1857.35,0.94225,0.54712,1.20273,0.98239,0.98378,0.98797,0.8239,0.71589,0.36243,0.98142,0.0005644,0.0005644,0.0005644
46,1899.21,0.88418,0.50722,1.17244,0.97824,0.97224,0.98592,0.80368,0.74926,0.37962,1.00276,0.0005545,0.0005545,0.0005545
47,1942.09,0.89794,0.52564,1.17144,0.98369,0.97817,0.98694,0.85384,0.62555,0.33443,0.9433,0.0005446,0.0005446,0.0005446
48,1984.62,0.94298,0.533,1.20023,0.98377,0.98295,0.99191,0.81217,0.7724,0.35465,0.99452,0.0005347,0.0005347,0.0005347
49,2029.76,0.9349,0.52215,1.17955,0.98338,0.98378,0.98618,0.81216,0.75341,0.35639,1.00002,0.0005248,0.0005248,0.0005248
50,2071.61,0.912,0.51221,1.16918,0.98571,0.97838,0.98876,0.79908,0.8151,0.36093,1.02268,0.0005149,0.0005149,0.0005149
51,2113.97,0.91166,0.52219,1.17632,0.98816,0.98378,0.99409,0.82434,0.72614,0.32541,0.98557,0.000505,0.000505,0.000505
52,2156.35,0.91158,0.51166,1.19973,0.98877,0.98378,0.9893,0.82454,0.69756,0.3361,0.98611,0.0004951,0.0004951,0.0004951
53,2198.71,0.88337,0.50348,1.16484,0.97742,0.98378,0.98799,0.85047,0.66491,0.33775,0.97022,0.0004852,0.0004852,0.0004852
54,2240.9,0.90647,0.49979,1.18257,0.98285,0.98378,0.99243,0.87695,0.55008,0.31146,0.9348,0.0004753,0.0004753,0.0004753
55,2283.75,0.91594,0.51338,1.19871,0.98755,0.97838,0.99383,0.86567,0.6316,0.32318,0.96086,0.0004654,0.0004654,0.0004654
56,2329.66,0.89597,0.50979,1.16767,0.98273,0.98378,0.99029,0.83243,0.72162,0.33807,0.98986,0.0004555,0.0004555,0.0004555
57,2374.62,0.86301,0.49328,1.1547,0.98839,0.98378,0.9934,0.85671,0.61853,0.30949,0.94062,0.0004456,0.0004456,0.0004456
58,2418.08,0.88304,0.48246,1.17118,0.98234,0.98378,0.99183,0.83976,0.70996,0.33531,0.98195,0.0004357,0.0004357,0.0004357
59,2460.91,0.88852,0.49207,1.17932,0.98186,0.98378,0.98841,0.86152,0.62252,0.31948,0.95838,0.0004258,0.0004258,0.0004258
60,2505.05,0.86605,0.4877,1.15246,0.98378,0.98366,0.98867,0.83708,0.69594,0.32165,0.96844,0.0004159,0.0004159,0.0004159
61,2549.7,0.8878,0.47586,1.15729,0.97789,0.98378,0.98849,0.87692,0.56603,0.29977,0.93156,0.000406,0.000406,0.000406
62,2593.19,0.88642,0.48585,1.15053,0.98253,0.97297,0.98903,0.8567,0.67782,0.325,0.96984,0.0003961,0.0003961,0.0003961
63,2639.16,0.85396,0.48188,1.14025,0.9882,0.98378,0.98859,0.855,0.66182,0.32481,0.96904,0.0003862,0.0003862,0.0003862
64,2683.61,0.8432,0.47426,1.14428,0.98803,0.97297,0.98859,0.83268,0.74938,0.33874,0.99507,0.0003763,0.0003763,0.0003763
65,2726.28,0.87044,0.47495,1.15978,0.97908,0.97838,0.98811,0.86197,0.6086,0.32148,0.94632,0.0003664,0.0003664,0.0003664
66,2771.29,0.88059,0.47902,1.15286,0.98856,0.97838,0.99275,0.88234,0.56586,0.30046,0.9346,0.0003565,0.0003565,0.0003565
67,2816.47,0.85246,0.48146,1.13767,0.98709,0.98378,0.99219,0.8742,0.58236,0.29605,0.93824,0.0003466,0.0003466,0.0003466
68,2860.71,0.84703,0.46656,1.13159,0.98827,0.98378,0.99431,0.8803,0.55731,0.29766,0.92909,0.0003367,0.0003367,0.0003367
69,2903.9,0.84251,0.46384,1.13543,0.98807,0.98919,0.99422,0.84831,0.65579,0.31061,0.95766,0.0003268,0.0003268,0.0003268
70,2948.87,0.85345,0.47794,1.14067,0.98759,0.98919,0.99457,0.86485,0.60264,0.28876,0.94478,0.0003169,0.0003169,0.0003169
71,2993.66,0.80815,0.45364,1.13324,0.98339,0.98919,0.99386,0.85734,0.60125,0.29133,0.93264,0.000307,0.000307,0.000307
72,3039.05,0.835,0.46727,1.13418,0.98385,0.98798,0.99341,0.87686,0.54873,0.29244,0.91632,0.0002971,0.0002971,0.0002971
73,3083.9,0.8286,0.45436,1.1236,0.98871,0.98378,0.9912,0.85765,0.62334,0.2925,0.93887,0.0002872,0.0002872,0.0002872
74,3128.16,0.81529,0.44584,1.11671,0.98684,0.98378,0.98803,0.8203,0.78668,0.33083,1.00231,0.0002773,0.0002773,0.0002773
75,3172.02,0.85843,0.4627,1.1319,0.98386,0.98853,0.9921,0.86894,0.60683,0.29146,0.93912,0.0002674,0.0002674,0.0002674
76,3215.32,0.81579,0.44976,1.11713,0.98869,0.98378,0.99376,0.88969,0.54407,0.27892,0.92244,0.0002575,0.0002575,0.0002575
77,3263.85,0.80867,0.4513,1.10973,0.98855,0.98378,0.98909,0.86012,0.65015,0.30318,0.95581,0.0002476,0.0002476,0.0002476
